# Data from CRU TS v4.01 Observations
# https://crudata.uea.ac.uk/cru/data/hrg/
# Note: temperature is multiplied by 10 (ºC*10)
local year jan feb mar apr may jun jul aug sep oct nov dec
MADRID 1975 73 80 77 120 139 201 251 235 178 153 91 57
MADRID 1976 65 78 104 108 181 220 236 225 178 119 74 75
MADRID 1977 58 80 110 135 141 177 206 213 212 151 89 85
MADRID 1978 56 83 106 112 140 178 240 247 224 151 96 79
MADRID 1979 75 76 91 110 164 217 240 239 203 135 95 75
MADRID 1980 -9999 82 98 119 142 201 232 -9999 227 -9999 -9999 56
MADRID 1981 62 68 119 116 150 224 238 243 208 158 122 78
MADRID 1982 79 81 105 131 173 218 246 240 195 138 95 66
MADRID 1983 65 60 121 113 141 228 249 226 229 166 120 68
MADRID 1984 57 68 72 147 111 195 253 225 201 141 96 70
MADRID 1985 36 93 92 133 148 217 262 249 242 172 87 62
MADRID 1986 51 59 99 88 187 223 260 240 210 158 99 63
MADRID 1987 51 73 115 140 167 220 239 257 238 133 99 83
MADRID 1988 78 76 117 125 155 182 242 253 216 155 103 66
MADRID 1989 67 87 126 110 184 222 267 260 198 166 119 95
MADRID 1990 65 110 115 113 178 234 264 258 221 147 93 53
MADRID 1991 56 61 104 118 160 235 265 273 219 -9999 -9999 -9999
MADRID 1992 46 74 115 141 186 175 -9999 255 209 131 112 -9999
MADRID 1993 61 71 110 120 156 210 249 257 187 112 88 67
MADRID 1994 58 79 139 121 168 228 275 264 186 154 113 73
MADRID 1995 68 89 115 145 189 220 264 252 183 174 117 84
MADRID 1996 79 64 102 140 158 228 250 236 184 150 102 74
MADRID 1997 70 103 147 158 165 194 232 246 224 170 95 68
MADRID 1998 71 99 132 111 157 224 261 261 202 141 98 59
MADRID 1999 60 76 108 138 180 221 263 255 201 146 78 59
MADRID 2000 48 107 121 107 182 231 239 244 210 149 88 76
MADRID 2001 72 85 122 137 168 234 242 255 204 162 81 42
MADRID 2002 72 90 113 137 156 235 248 237 197 148 99 87
