# Species data from IUCN (http://www.iucnredlist.org/)
# Climate and altitude data from worldclim (http://worldclim.org/)
lon;lat;sp.rich;prec1;prec2;prec3;prec4;prec5;prec6;prec7;prec8;prec9;prec10;prec11;prec12;tavg1;tavg2;tavg3;tavg4;tavg5;tavg6;tavg7;tavg8;tavg9;tavg10;tavg11;tavg12;altitude
-117.5;77.5;1;3;3;2;4;7;8;13;20;15;10;4;3;-33.5999984741211;-35.7000007629395;-34.0999984741211;-27.2000007629395;-13.6999998092651;-2.59999990463257;2.20000004768372;-0.600000023841858;-7;-18.8999996185303;-27.8999996185303;-31.8999996185303;1
-112.5;77.5;6;2;2;2;3;5;6;14;17;12;9;3;2;-33.9489936828613;-35.8832206726074;-34.2882537841797;-28;-14.6365776062012;-3.25536918640137;1.86375832557678;-0.84765100479126;-7.73489904403687;-19.6023483276367;-28.0412750244141;-31.9684562683105;14
-87.5;77.5;8;3;2;3;4;15;16;31;34;24;22;8;3;-36.3805046081543;-36.5263290405273;-33.9878463745117;-24.966329574585;-11.4324054718018;0.7430379986763;5.37544298171997;2.73620247840881;-5.0868353843689;-16.8101272583008;-26.5491142272949;-32.5569610595703;28
-82.5;77.5;8;3;3;3;4;15;19;37;38;25;24;9;5;-34.3522491455078;-34.5702514648438;-33.1944999694824;-24.8892498016357;-11.4352502822876;0.586000025272369;3.89499998092651;2.67149996757507;-5.79050016403198;-17.1135005950928;-25.7740001678467;-31.1219997406006;264
-72.5;77.5;1;5;5;5;8;11;10;28;28;20;19;9;7;-23.9442615509033;-25.2688522338867;-25.0959014892578;-18.2114753723145;-7.24426221847534;0.0344262309372425;3.13196730613708;2.00081968307495;-3.4385244846344;-10.7795085906982;-17.081148147583;-20.8745899200439;249
-67.5;77.5;1;8;8;6;7;8;9;25;24;19;14;11;10;-26.9722690582275;-28.8403358459473;-28.3310928344727;-21.3193283081055;-9.61848735809326;-1.56722688674927;2.59159660339355;1.76554620265961;-6.11764717102051;-13.9361343383789;-21.0924377441406;-23.9571437835693;483
-62.5;77.5;5;12;12;8;9;11;16;31;27;24;17;20;15;-33.921501159668;-35.0462493896484;-34.0255012512207;-26.7835006713867;-14.8557500839233;-6.36850023269653;-1.87574994564056;-3.77099990844727;-11.6724996566772;-22.4482498168945;-30.0154991149902;-33.142749786377;1161
-57.5;77.5;2;15;15;11;9;12;24;38;34;28;17;25;20;-37.8494987487793;-38.7254981994629;-38.1407508850098;-30.6667499542236;-18.0417499542236;-9.20199966430664;-4.79724979400635;-7.51975011825562;-15.8402500152588;-27.2202491760254;-34.4497489929199;-37.0869979858398;1915
-52.5;77.5;2;21;18;15;11;12;24;36;32;26;15;26;24;-38.2237510681152;-38.5112495422363;-38.7362518310547;-31.6685009002686;-19.1680011749268;-10.5845003128052;-6.33125019073486;-9.38424968719482;-17.7679996490479;-28.7982501983643;-35.2952499389648;-37.2077484130859;2286
-47.5;77.5;1;33;27;24;18;15;27;37;38;28;19;30;32;-38.8980026245117;-38.8577499389648;-39.1872520446777;-32.3057479858398;-20.2014999389648;-11.4595003128052;-7.70574998855591;-10.8012504577637;-19.0049991607666;-29.7672500610352;-35.7744979858398;-37.5032501220703;2437
