Species	Lat	Long
Lacerta_schreiberi	43.582511	-6.764432
Lacerta_schreiberi	39.684552	-8.806521
Lacerta_schreiberi	40.236026	-7.748995
Lacerta_schreiberi	42.14796	-8.131601
Lacerta_schreiberi	42.810676	-8.325048
Lacerta_schreiberi	41.452326	-7.794327
Lacerta_schreiberi	43.024434	-7.96562
Lacerta_schreiberi	40.442003	-5.000492
Lacerta_schreiberi	42.673065	-7.02814
Lacerta_schreiberi	40.486958	-5.110908
Lacerta_schreiberi	43.338849	-6.920988
Lacerta_schreiberi	42.566953	-8.64956
Lacerta_strigata	41.508513	45.946294
Lacerta_trilineata	39.150796	23.847758
Lacerta_trilineata	35.058838	24.794214
Lacerta_trilineata	41.311462	19.821737
Lacerta_trilineata	41.115368	26.245447
Lacerta_trilineata	35.058672	24.793374
Lacerta_trilineata	35.164375	25.429992
Lacerta_trilineata	35.295712	24.951666
Lacerta_trilineata	44.585129	14.40322
Lacerta_trilineata	42.421759	18.773158
Lacerta_trilineata	35.476257	23.933458
Lacerta_trilineata	36.1965	22.957677
Lacerta_trilineata	39.168835	26.536306
Lacerta_trilineata	39.476665	19.885279
Lacerta_trilineata	39.440567	19.918041
Lacerta_trilineata	39.110615	26.264748
Lacerta_trilineata	36.953001	28.704633
Lacerta_trilineata	39.008306	20.731573
Lacerta_trilineata	39.21603	26.16188
Lacerta_trilineata	39.258041	26.155359
Lacerta_trilineata	37.93153	22.284328
Lacerta_trilineata	38.794006	20.712831
Lacerta_trilineata	43.866602	15.972484
Lacerta_trilineata	35.417267	23.938816
Lacerta_trilineata	40.147478	20.452364
Lacerta_trilineata	43.240061	17.08063
Lacerta_trilineata	44.976947	14.444301
Lacerta_trilineata	37.058806	25.466089
Lacerta_viridis	43.266643	22.020969
Lacerta_viridis	43.266643	22.020969
Lacerta_viridis	46.836558	23.5844
Lacerta_viridis	43.64573	21.697386
Lacerta_viridis	44.669207	20.237275
Lacerta_viridis	48.258899	16.309777
Lacerta_viridis	45.017101	16.900127
Lacerta_viridis	42.525396	20.589094
Lacerta_viridis	42.260372	20.580536
Lacerta_viridis	44.605794	20.571006
Lacerta_viridis	44.701227	17.188185
Lacerta_viridis	48.256773	14.04823
Lacerta_viridis	50.117752	14.402895
Lacerta_viridis	40.326878	23.659017
Lacerta_viridis	48.347954	14.034157
Lacerta_viridis	48.438505	16.614473
Lacerta_viridis	50.116837	14.404914
